y1,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,20,312,286,1254,614,867,1024,12,9,1,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,19,310,19,1244,613,863,1037,12,10,1,1000,0.0742,0.08,1.865,0.006,0.0013,0.024,0.206,0.0469,0.0158,0.1094,0.0428,0.004,0.002,0
0,16,217,194,1262,608,871,1042,12,11,2,1000,0.0742,0.08,1.865,0.006,0.0013,0.024,0.206,0.0469,0.0158,0.1094,0.0428,0.004,0.002,0
0,20,217,261,1263,613,872,1027,12,10,2,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,19,222,19,1258,613,877,1035,12,10,1,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,20,222,252,1263,614,876,1031,12,10,1,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,18,223,247,1265,614,875,1037,12,10,2,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,21,268,108,1274,572,809,1014,12,2,2,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
0,21,270,109,1278,579,837,1013,12,3,2,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
1,22,269,270,1261,580,822,1002,12,3,2,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
0,17,218,223,1262,613,862,1015,12,10,1,1000,0.0792,0.1,1.906,0.0091,0.0013,0.028,0.204,0.0479,0.0183,0.1137,0.0405,0.0036,0.0016,0
0,16,244,185,1259,612,880,1055,12,11,2,1000,0.0742,0.08,1.865,0.006,0.0013,0.024,0.206,0.0469,0.0158,0.1094,0.0428,0.004,0.002,0
0,17,244,251,1256,607,874,1045,12,11,1,1000,0.0742,0.08,1.865,0.006,0.0013,0.024,0.206,0.0469,0.0158,0.1094,0.0428,0.004,0.002,0
0,18,239,187,1265,608,872,1047,12,11,1,1000,0.0742,0.08,1.865,0.006,0.0013,0.024,0.206,0.0469,0.0158,0.1094,0.0428,0.004,0.002,0
0,17,225,135,1251,573,856,1025,12,5,2,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
0,20,281,71,1266,570,828,1016,12,2,1,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
0,18,257,326,1262,607,883,1039,12,8,2,1031,0.0743,0.106,1.833,0.0101,0.0015,0.034,0.16,0.0484,0.0114,0.121,0.0391,0.004,0.0021,0
0,18,281,103,1248,614,873,1050,12,10,1,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,17,273,376,1260,613,867,1036,12,10,1,1000,0.0794,0.081,1.847,0.0109,0.0018,0.03,0.18,0.0473,0.0125,0.1113,0.0405,0.0038,0.0028,0
0,16,330,172,1258,614,873,1048,12,9,3,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
